county,Demand: Lower Range (bby Occupation),Demand: Upper Range (by Industry),Licensed Capacity,High supply scenario,Medium supply scenario,Low supply scenario,ccs_per_100_occ_low,ccs_per_100_occ_med,ccs_per_100_occ_high,ccs_per_100_ind_low,ccs_per_100_ind_med,ccs_per_100_ind_high
Anderson County,1158.848489,1548.754297,824,493,355,251,22,31,43,17,23,32
Andrews County,439.2413243,605.3409848,275,164,117,82,19,27,38,14,20,28
Angelina County,2236.557234,3270.506193,2800,1670,1196,840,38,54,75,26,37,52
Aransas County,449.9514952,548.7364415,220,131,94,66,15,21,30,13,18,24
Archer County,201.3829029,296.3592749,149,90,65,46,23,33,45,16,22,31
Armstrong County,48.02740084,61.12578288,9,8,8,8,17,17,17,14,14,14
Atascosa County,1268.729433,1718.419018,805,481,345,243,20,28,38,15,21,28
Austin County,633.6783641,1060.903588,715,426,304,213,34,48,68,21,29,41
Bailey County,224.3062136,245.1755029,172,103,74,52,24,33,46,22,31,43
Bandera County,343.3616115,454.3226118,291,174,124,87,26,37,51,20,28,39
Bastrop County,1720.780413,2829.80729,1280,767,552,391,23,33,45,14,20,28
Baylor County,80.97094588,107.8808131,63,40,30,23,29,38,50,22,28,38
Bee County,535.6312696,658.0250872,499,298,214,151,29,40,56,23,33,46
Bell County,10685.06763,15089.9298,10181,6082,4367,3081,29,41,57,21,29,41
Bexar County,50659.13826,81145.41938,43115,25714,18424,12956,26,37,51,16,23,32
Blanco County,201.2272697,311.5713346,80,48,34,24,12,17,24,8,11,16
Borden County,11.20802005,17.65263158,0,0,0,0,0,0,0,0,0,0
Bosque County,345.8662123,540.7729555,208,125,90,64,19,27,37,12,17,24
Bowie County,2041.490649,3264.248307,2404,1435,1030,726,36,51,71,23,32,44
Brazoria County,8764.740719,16183.97096,11788,7020,5021,3521,41,58,81,22,32,44
Brazos County,4731.864831,8025.930225,4501,2696,1943,1378,30,42,57,18,25,34
Brewster County,205.7021484,292.9475098,87,56,44,35,18,22,28,12,16,20
Brooks County,207.6695682,198.2047354,0,0,0,0,0,0,0,0,0,0
Brown County,748.8772599,1256.523698,806,484,349,249,34,47,65,20,28,39
Burleson County,437.9910056,566.6834612,158,98,73,54,13,17,23,10,13,18
Burnet County,918.2976703,1289.070126,748,446,318,223,25,35,49,18,25,35
Caldwell County,915.3691739,1430.742877,527,316,228,162,18,25,35,12,16,23
Calhoun County,506.3299896,867.9169686,618,368,263,184,37,52,73,22,31,43
Callahan County,239.2163641,358.6978425,100,61,44,32,14,19,26,9,13,18
Cameron County,12993.35632,17895.39829,8783,5231,3741,2623,21,29,41,15,21,30
Camp County,293.7063529,469.441612,111,67,48,34,12,17,23,8,11,15
Carson County,138.6567888,233.0319684,3,3,3,3,3,3,3,2,2,2
Cass County,630.2407518,927.2719059,369,222,161,115,19,26,36,13,18,24
Castro County,234.1460072,253.4864357,12,8,6,4,2,3,4,2,3,4
Chambers County,787.9708162,1648.927183,387,232,168,119,16,22,30,8,11,15
Cherokee County,1206.369781,1829.150246,970,579,415,292,25,35,48,16,23,32
Childress County,115.0926977,157.6335455,47,33,28,24,21,25,29,16,18,21
Clay County,210.6293283,293.8256675,203,124,91,66,32,44,59,23,31,43
Coleman County,140.7370198,234.7191237,140,85,63,45,32,45,61,20,27,37
Collin County,22969.20109,47549.56179,34366,20516,14720,10372,46,65,90,22,31,44
Collingsworth County,91.35580774,112.2258845,56,35,26,19,21,29,39,17,24,32
Colorado County,482.4663289,715.8811681,424,255,185,132,28,39,53,19,26,36
Comal County,2554.738092,4489.538536,3101,1849,1324,930,37,52,73,21,30,42
Comanche County,282.3538749,368.5039613,145,91,68,52,19,25,33,15,19,25
Concho County,28.03729624,35.58313647,65,39,28,20,72,100,140,57,79,110
Cooke County,979.2271108,1520.683632,1030,618,446,317,33,46,64,21,30,41
Coryell County,1353.931197,1999.105594,1542,921,661,466,35,49,69,24,34,47
