COUNTY,LowerRangeOccupation,UpperRangeIndustry,county_cpt,low_supply,med_supply,hi_supply,LsupplyUpper,LsupplyLower,MsupplyUpper,MsupplyLower,HsupplyUpper,HsupplyLower
ANDERSON,1313.74318,1882.581909,815,144,279,414,11,8,22,15,32,22
ANDREWS,514.2747487,683.3709142,275,66,69,71,13,10,14,11,14,11
ANGELINA,2570.648383,3691.997782,3060,367,881,1394,15,10,35,24,55,38
ARANSAS,504.2904413,649.7241785,220,24,85,147,5,4,17,14,30,23
ARCHER,239.5360663,346.8876474,180,56,97,138,24,17,41,28,58,40
ATASCOSA,1432.558465,1930.596075,799,194,340,486,14,11,24,18,34,26
AUSTIN,750.4298276,1236.008654,715,67,241,414,9,6,33,20,56,34
BAILEY,250.530408,277.6481171,172,15,89,162,6,6,36,33,65,59
BANDERA,403.9597901,509.3465439,393,98,118,139,25,20,30,24,35,28
BASTROP,1980.342237,3190.210754,1409,284,551,817,15,9,28,18,42,26
BAYLOR,84.3497633,108.5734707,57,33,34,34,40,31,41,32,41,32
BEE,631.5221625,781.0798084,558,161,255,349,26,21,41,33,56,45
BELL,11860.29279,16636.32141,10888,2177,4858,7539,19,14,41,30,64,46
BEXAR,59211.56579,90700.92127,48047,7161,16358,25554,13,8,28,19,44,29
BLANCO,238.8015477,340.3971163,185,4,82,161,2,2,35,25,68,48
BORDEN,11.99258145,18.43719298,0,0,0,0,0,0,0,0,0,0
BOSQUE,386.9365136,596.9368723,205,44,75,107,12,8,20,13,28,18
BOWIE,2418.12346,3626.286199,2744,500,890,1279,21,14,37,25,53,36
BRAZORIA,10255.09786,17639.03174,14095,1627,4324,7021,16,10,43,25,69,40
BRAZOS,5565.163324,8767.143676,4948,1035,2103,3172,19,12,38,24,57,37
BREWSTER,231.3269385,326.7563965,72,27,40,52,12,9,18,13,23,16
BROOKS,235.6103116,228.4226062,0,0,0,0,0,0,0,0,0,0
BROWN,865.5001402,1395.93141,803,249,421,594,29,18,49,31,69,43
BURLESON,487.1076154,616.5326839,146,58,73,89,12,10,15,12,19,15
BURNET,1091.732378,1536.925329,1002,124,323,523,12,9,30,22,48,35
CALDWELL,1047.079894,1607.649124,611,181,262,343,18,12,26,17,33,22
