county,Demand Lower Range (Occupation) Adjusted,Demand Upper Range (Industry) Adjusted,Licensed Capacity,High supply scenario,Medium supply scenario,Low supply scenario,ccs_per_100_occ_low,ccs_per_100_occ_med,ccs_per_100_occ_high,ccs_per_100_ind_low,ccs_per_100_ind_med,ccs_per_100_ind_high
Anderson County,1312.939705,1872.758594,824,493,355,251,20,28,38,14,19,27
Andrews County,513.9022828,677.988614,275,164,117,82,16,23,32,13,18,25
Angelina County,2567.415403,3662.807487,2898,1728,1237,869,34,49,68,24,34,48
Aransas County,503.3180754,640.8118564,220,131,94,66,14,19,27,11,15,21
Archer County,239.0906436,345.9685213,149,90,65,46,20,28,38,14,19,27
Armstrong County,50.82620042,66.49947808,9,8,8,8,16,16,16,13,13,13
Atascosa County,1430.009873,1915.205227,817,488,350,247,18,25,35,13,19,26
Austin County,748.750606,1229.867129,715,426,304,213,29,41,57,18,25,35
Bailey County,250.1222974,274.85627,172,103,74,52,21,30,42,19,27,38
Bandera County,402.4909135,506.4349871,393,234,168,117,30,42,59,24,34,47
Bastrop County,1975.333728,3171.871907,1280,767,552,391,20,28,39,13,18,25
Baylor County,84.3497633,106.9154367,63,40,30,23,28,36,48,22,29,38
Bee County,631.4277477,774.7770449,499,298,214,151,24,34,48,20,28,39
Bell County,11833.18179,16485.31389,10148,6065,4358,3078,27,37,52,19,27,37
Bexar County,59046.53215,89666.58461,45647,27235,19525,13743,24,34,47,16,22,31
Blanco County,238.3708404,338.6387239,80,48,34,24,11,15,21,8,11,15
Borden County,12.04862155,18.49323308,0,0,0,0,0,0,0,0,0,0
Bosque County,386.5494978,592.5304878,208,125,90,64,17,24,33,11,16,22
Bowie County,2413.985497,3597.917179,2594,1549,1111,782,33,47,65,22,31,44
Brazoria County,10220.63295,17520.88026,13098,7820,5611,3954,39,55,77,23,33,45
Brazos County,5545.941874,8670.603954,4501,2696,1943,1378,25,36,49,16,23,32
Brewster County,230.2104492,323.3210449,87,56,44,35,16,20,25,11,14,18
Brooks County,235.507312,226.599234,0,0,0,0,0,0,0,0,0,0
Brown County,863.0730174,1388.250047,806,484,349,249,29,41,57,18,26,35
Burleson County,486.6297188,612.4111291,158,98,73,54,12,16,21,9,12,17
Burnet County,1089.333674,1521.123749,858,511,365,256,24,34,47,17,24,34
Caldwell County,1045.136681,1595.625498,582,349,252,179,18,25,34,12,16,22
Calhoun County,557.1929541,936.9066278,618,368,263,184,34,48,67,20,29,40
Callahan County,296.4863834,422.0496339,100,61,44,32,11,15,21,8,11,15
Cameron County,14671.40983,19553.70805,9242,5509,3945,2772,19,27,38,15,21,29
Camp County,354.9191251,544.4488118,111,67,48,34,10,14,19,7,9,13
Carson County,176.2961566,261.9533944,3,3,3,3,2,2,2,2,2,2
Cass County,728.1065078,1052.608751,369,222,161,115,16,23,31,11,16,22
Castro County,261.8884252,300.410754,12,8,6,4,2,3,4,2,2,3
Chambers County,902.2288606,1748.163253,873,521,374,264,30,42,58,16,22,30
Cherokee County,1357.3385,2031.591846,970,579,415,292,22,31,43,15,21,29
Childress County,131.1591937,175.0136544,47,33,28,24,19,22,26,14,16,19
Clay County,241.84199,329.7539111,203,124,91,66,28,38,52,21,28,38
Coleman County,169.3094685,254.9087465,140,85,63,45,27,38,51,18,25,34
Collin County,29074.286,52920.09379,36140,21571,15472,10898,38,54,75,21,30,41
Collingsworth County,98.96879172,118.3950267,56,35,26,19,20,27,36,17,22,30
Colorado County,568.4679066,824.4550075,424,255,185,132,24,33,45,17,23,31
Comal County,3206.145904,5090.176122,3156,1881,1347,946,30,43,59,19,27,37
Comanche County,319.1193343,430.9931086,145,91,68,52,17,22,29,13,16,22
Concho County,28.93725884,37.17537798,65,39,28,20,70,97,135,54,76,105
Cooke County,1084.34409,1728.575876,1030,618,446,317,30,42,57,19,26,36
Coryell County,1525.105003,2193.842291,1542,921,661,466,31,44,61,22,31,42
Cottle County,59.69647258,61.33949476,0,0,0,0,0,0,0,0,0,0
Crane County,144.6401116,162.1722463,0,0,0,0,0,0,0,0,0,0
Crockett County,105.6317093,99.32314891,0,0,0,0,0,0,0,0,0,0
Crosby County,190.4146406,224.674572,46,28,20,14,8,11,15,7,9,13
Culberson County,73.19872081,77.08537855,0,0,0,0,0,0,0,0,0,0
Dallam County,314.3867585,339.4626421,78,48,35,25,8,12,16,8,11,15
Dallas County,74998.64217,129479.8434,50434,30179,21718,15373,21,29,41,12,17,24
Dawson County,315.1634269,397.9202664,45,28,21,16,6,7,9,5,6,8
DeWitt County,424.1752304,600.4653984,399,239,173,123,29,41,57,21,29,40
Deaf Smith County,712.6848687,965.8419669,346,207,149,105,15,21,30,11,16,22
Delta County,121.142218,177.0247683,46,28,20,14,12,17,24,8,12,16
Denton County,25258.56853,44293.72477,26278,15709,11291,7977,32,45,63,19,26,36
Dimmit County,269.583431,376.2157695,96,58,41,29,11,16,22,8,11,16
Donley County,77.78346127,97.31160811,48,29,21,15,20,27,38,16,22,30
Duval County,299.1237414,340.2408924,54,33,23,17,6,8,12,5,7,10
Eastland County,398.1765873,527.5007937,263,159,115,82,21,29,40,16,22,31
Ector County,5158.160857,6846.865881,3409,2033,1457,1025,20,29,40,15,22,30
Edwards County,42.43925385,41.70754258,0,0,0,0,0,0,0,0,0,0
El Paso County,27248.49536,40544.81,14854,8894,6407,4541,17,24,33,12,16,22
Ellis County,4841.298502,8264.425753,5159,3080,2210,1557,33,46,64,19,27,38
Erath County,1012.759189,1502.354612,349,212,155,113,12,16,21,8,11,15
Falls County,314.0863826,466.6393361,217,130,94,67,22,30,42,15,21,28
Fannin County,733.6735918,1126.918044,393,237,173,124,17,24,33,12,16,22
Fayette County,571.2733118,855.6724713,450,271,197,141,25,35,48,17,24,32
Fisher County,100.9789145,121.805112,24,15,11,8,8,11,15,7,10,13
Floyd County,206.103152,205.2292163,91,55,39,28,14,19,27,14,20,27
Foard County,25.90382339,36.48709754,0,0,0,0,0,0,0,0,0,0
Fort Bend County,25020.03037,41364.55684,29137,17359,12421,8717,35,50,70,22,31,42
Franklin County,255.0837625,366.51787,153,92,66,46,19,26,37,13,19,26
Freestone County,435.7861552,600.3304117,135,82,60,44,11,14,19,8,10,14
Frio County,516.4143141,555.7613953,227,136,98,70,14,19,27,13,18,25
Gaines County,702.0780473,767.1212293,169,102,74,52,8,11,15,7,10,14
Galveston County,9623.349898,15060.97641,11868,7068,5055,3544,37,53,74,24,34,47
Garza County,99.04660994,145.2200753,0,0,0,0,0,0,0,0,0,0
Gillespie County,618.6859292,801.2789765,105,64,46,33,6,8,11,5,6,8
Glasscock County,27.39848485,29.7030303,0,0,0,0,0,0,0,0,0,0
Goliad County,151.564821,240.0163768,168,100,72,50,33,48,66,21,30,42
Gonzales County,592.8592119,880.501379,153,94,69,51,9,12,16,6,8,11
Gray County,569.6318052,789.4799427,111,69,51,38,7,9,13,5,7,9
Grayson County,3370.194269,5167.310194,2498,1498,1080,767,23,33,45,15,21,29
Gregg County,3477.228455,5414.360917,3323,1990,1433,1016,30,42,58,19,27,37
Grimes County,561.1619616,847.9618169,320,193,140,101,18,25,35,12,17,23
Guadalupe County,4283.149072,7036.146362,4188,2503,1798,1270,30,42,59,19,26,36
Hale County,1108.793016,1434.209353,434,263,191,138,13,18,24,10,14,19
Hall County,78.88492193,87.44022446,12,8,6,4,6,8,11,5,7,10
