COUNTY,LowerRangeOccupation,UpperRangeIndustry,county_cpt,low_supply,med_supply,hi_supply,LsupplyUpper,LsupplyLower,MsupplyUpper,MsupplyLower,HsupplyUpper,HsupplyLower
ANDERSON,2345.04541732195,2411.76141035722,815,284,367,451,13,12,16,16,20,19
ANDREWS,1176.75401667789,1204.74935944925,275,77,105,132,7,7,9,9,12,11
ANGELINA,4424.22938323841,4599.28043342098,3119,898,1195,1492,21,20,28,26,34,33
ARANSAS,939.148587610548,957.8403097363,220,93,117,142,10,10,13,13,16,15
ARCHER,454.126105358971,470.967325065423,180,69,93,118,16,15,21,20,26,26
ARMSTRONG,96.9235490605428,99.3417118997912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ATASCOSA,2691.1597271033,2767.66262247071,799,339,418,497,13,13,16,16,19,18
AUSTIN,1542.90788559107,1618.96490994419,715,235,310,385,16,15,21,20,25,24
BAILEY,436.248532618913,437.862424327881,172,80,86,93,19,19,20,20,22,22
BANDERA,722.21577356063,741.211997426825,393,126,160,194,18,17,23,22,27,27
BASTROP,4052.98137741063,4247.75181477266,1409,472,644,817,12,12,16,16,21,20
BAYLOR,153.581732108048,157.665274296853,57,22,27,33,15,14,18,18,22,21
BEE,1042.5811656878,1060.1354097458,558,239,294,348,23,23,29,28,34,33
BELL,19861.5150705297,20622.4090122886,10610,4294,5331,6369,22,21,27,26,33,31
BEXAR,112279.927319569,117132.300495277,49204,17363,22063,26764,16,15,20,19,24,23
BLANCO,446.131822191684,465.780375919851,185,60,80,100,14,13,18,18,23,22
BORDEN,31.3124060150376,32.4724360902256,0,0,0,0,0,0,0,0,0,0
BOSQUE,768.468794835007,801.999282639885,205,69,95,121,9,9,13,12,16,16
BOWIE,4241.8707411334,4441.07144848254,2744,883,1138,1393,21,20,27,26,33,32
BRAZORIA,21288.6593945705,22569.5979886548,14873,4514,5849,7183,22,21,28,26,34,32
BRAZOS,10221.6504019741,10749.7854048846,4948,2048,2522,2996,21,20,25,24,30,28
BREWSTER,387.874233398438,401.504619140625,72,30,37,44,8,8,10,10,12,11
BRISCOE,66.3064957956015,67.1323447606727,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
BROOKS,318.906408426184,315.624338440111,51,20,25,30,7,7,8,8,10,10
BROWN,1659.71990588272,1751.45181474776,803,377,436,494,23,22,27,25,30,29
BURLESON,836.767806826028,858.25132023363,146,50,64,77,6,6,8,8,10,9
BURNET,2015.83313897996,2068.41795996357,1002,301,385,470,15,15,20,19,24,23
CALDWELL,2116.44864415513,2204.67734817194,611,230,283,337,11,11,14,13,16,16
CALHOUN,1157.40840081931,1219.01210834442,546,164,205,246,15,14,18,17,22,21
CALLAHAN,572.26179926168,593.084266037279,157,56,68,80,10,10,12,12,14,14
CAMERON,24072.3857926091,24799.2417665114,9702,3854,4901,5949,17,16,21,20,25,24
CAMP,668.986627838914,700.024089791618,123,43,57,71,7,7,9,9,11,11
CARSON,352.251898347701,368.193277658046,0,0,0,0,0,0,0,0,0,0
CASS,1308.35478246419,1359.08309236547,360,138,175,212,11,11,14,13,17,16
CASTRO,467.867159154146,470.463849471341,12,7,9,11,2,2,2,2,3,3
CHAMBERS,2204.29714695225,2357.16621655664,704,231,296,361,11,10,14,13,17,16
CHEROKEE,2514.90426184421,2626.60731412442,891,319,408,496,13,13,17,16,20,19
CHILDRESS,227.814829320048,235.490370421626,29,18,19,20,8,8,9,9,9,9
CLAY,435.183096579057,451.027452023363,110,46,60,73,11,11,14,14,17,17
COCHRAN,164.437950528007,162.260349804867,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
COKE,148.318306615776,151.552627226463,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
COLEMAN,343.752532276646,358.905375501529,134,67,83,100,20,19,25,24,30,28
COLLIN,64231.7480451811,68408.3234742805,42890,11236,14737,18237,18,17,23,22,29,27
COLLINGSWORTH,164.251441922563,167.157501668892,65,41,42,43,25,25,26,26,27,26
COLORADO,1054.83331002442,1096.25782362921,485,222,259,296,22,21,25,24,29,28
COMAL,6426.9991924519,6742.84654469928,3714,1221,1530,1840,19,19,24,23,29,28
COMANCHE,587.322754168211,604.445993886625,142,71,87,103,13,12,15,15,18,18
CONCHO,62.5709378691236,63.7547348216395,65,19,24,28,31,30,39,38,45,44
COOKE,2143.42367895681,2238.07579490031,1012,481,566,651,23,22,27,26,31,30
CORYELL,2596.01969853937,2698.75390330357,1532,543,668,793,21,21,26,25,31,30
COTTLE,105.996837646334,106.588325631547,0,0,0,0,0,0,0,0,0,0
CRANE,299.826476544741,302.830540400909,0,0,0,0,0,0,0,0,0,0
CROCKETT,224.699185246353,223.563644371043,0,0,0,0,0,0,0,0,0,0
CROSBY,331.112680145595,335.903189017801,46,34,37,40,11,11,12,12,13,12
CULBERSON,113.850569686152,112.871131935148,0,0,0,0,0,0,0,0,0,0
DALLAM,534.761129366285,535.620873947259,75,52,57,61,10,10,11,11,12,12
DALLAS,164132.103988134,173405.63721937,57540,18601,24396,30190,12,11,15,15,19,18
DAWSON,584.688968682505,595.730264578834,42,27,31,36,5,5,6,6,7,7
DEAF SMITH,1305.38211968887,1346.50994020848,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
DELTA,223.005589645254,231.695896452541,46,27,33,38,13,12,15,15,18,17
DENTON,54468.3582392193,57697.0283921881,31634,9667,12544,15422,18,17,24,22,29,27
DEWITT,861.007065084414,889.032052850501,393,102,134,165,12,12,16,16,20,19
DICKENS,77.7395306859206,79.7458483754513,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
DIMMIT,539.877744302729,548.78811779049,96,48,57,67,9,9,11,11,13,13
DONLEY,138.221978643834,141.75679263852,48,24,29,33,18,17,21,21,24,24
DUVAL,500.894503155732,507.837791134596,54,37,41,44,8,8,9,9,9,9
EASTLAND,680.62021031746,701.702496031746,257,97,125,153,15,14,19,18,23,22
ECTOR,10377.48720245,10636.8993682922,3598,1237,1549,1861,12,12,15,15,18,18
EDWARDS,72.1650243309003,72.7247834549878,0,0,0,0,0,0,0,0,0,0
EL PASO,46894.8252578754,49213.4345995855,16851,6543,8473,10402,14,14,19,18,23,22
ELLIS,9931.6670233398,10508.445731793,5296,1946,2432,2917,20,19,25,24,30,28
ERATH,1924.07804220304,1996.95559969786,559,222,257,291,12,12,14,13,16,15
FALLS,591.193929369713,615.130351272713,139,70,83,96,12,12,15,14,17,16
FANNIN,1367.71913211412,1435.29977000732,444,181,228,274,14,13,17,16,21,20
FAYETTE,1145.05086617995,1190.87648075747,438,198,250,301,18,17,22,21,27,26
FISHER,175.298044681947,178.013330543394,24,21,21,21,12,12,12,12,12,12
FLOYD,324.495211313579,323.000781391916,91,15,20,24,5,5,7,7,8,8
FOARD,52.7107528409091,54.0351740056818,0,0,0,0,0,0,0,0,0,0
FORT BEND,49743.7637917154,52713.048368987,33920,10138,13027,15917,21,20,27,25,32,31
FRANKLIN,509.029418406842,524.999880060555,252,78,98,118,16,15,20,19,24,23
FREESTONE,820.787231214166,848.15630092851,129,62,75,87,8,8,10,9,11,11
FRIO,802.120565681826,806.718368868378,221,104,121,137,13,13,16,15,18,17
GAINES,1394.26953102702,1409.57700703706,166,70,84,98,6,5,7,6,8,7
GALVESTON,18532.0743880849,19455.1956621682,13004,4008,5154,6300,22,21,28,27,34,33
GARZA,196.182905931934,203.33707697201,25,13,14,14,7,7,8,7,8,7
GILLESPIE,1115.03989666005,1144.73036541005,339,120,147,173,11,11,14,13,16,16
GLASSCOCK,74.2217272727273,74.9130909090909,0,0,0,0,0,0,0,0,0,0
GOLIAD,306.172561412827,320.692099322799,168,58,64,70,19,19,21,20,23,22
GONZALES,1160.76209738553,1203.0472534314,144,34,43,52,3,3,4,4,5,5
GRAY,1156.72916905444,1190.07326647564,397,56,87,117,5,5,8,8,11,10
GRAYSON,6406.63843827819,6695.47204505029,2787,1152,1410,1668,18,18,23,22,27,25
GREGG,6732.01094440897,7046.17386227133,3854,1460,1768,2075,22,21,27,26,31,30
GRIMES,1113.2175401134,1160.40782241525,358,188,230,272,17,17,21,20,25,24
GUADALUPE,8363.76919211048,8816.3075435467,4012,1610,1969,2329,20,19,24,23,28,27
HALE,1900.93364812046,1944.6375079393,419,187,224,261,10,10,12,12,14,14
HALL,127.499170461939,128.971185751464,12,5,6,6,4,4,5,5,5,5
HAMILTON,357.84519409844,366.520052908453,157,61,73,86,18,17,21,20,25,24
HANSFORD,342.660630070308,342.37359653867,72,20,25,30,6,6,8,8,9,9
HARDEMAN,192.165049342105,194.445024671053,12,10,11,11,6,6,6,6,6,6
HARDIN,2825.46610166611,2965.26393769548,1100,389,493,597,14,14,18,17,22,21
HARRIS,286285.300736989,300800.674621837,125217,40976,54298,67620,15,14,19,19,24,23
HARRISON,3347.05691754339,3502.33504406079,1687,630,803,976,19,18,24,23,30,28
